data,price,temp,dew,humidity,windspeed,cloudcover,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-01-01 00:00:00+01:00,50.87,1.9,0.2,88.5,10.0,63.9,4631.25,11608.5,5657.0,3443.75,405.0,31.0,347.25,1182.0,48.25,8144.75,454.25,196.0,0.0,787.0,383.0,3943.0
2021-01-01 01:00:00+01:00,48.19,1.9,0.2,88.5,10.0,63.9,4619.25,11602.75,5417.0,3044.75,405.0,31.0,518.5,1174.75,46.25,8150.25,454.0,196.0,0.0,785.75,394.5,3549.75
2021-01-01 02:00:00+01:00,44.68,1.9,0.2,88.5,10.0,63.9,4617.25,11758.5,5319.0,3067.25,405.5,31.0,219.0,1158.25,30.25,8156.5,454.0,196.0,0.0,779.0,305.25,3223.25
2021-01-01 03:00:00+01:00,42.92,1.9,0.2,88.5,10.0,63.9,4606.0,12337.5,5134.5,2852.5,405.5,31.0,2.0,1155.5,48.75,8153.75,454.25,196.0,0.0,770.75,319.25,2793.75
2021-01-01 04:00:00+01:00,40.39,1.9,0.2,88.5,10.0,63.9,4606.75,12395.0,4999.5,2713.25,404.75,31.0,6.0,1152.5,26.75,8150.5,465.0,200.75,0.0,760.5,296.25,2499.25
2021-01-01 05:00:00+01:00,40.2,1.9,0.2,88.5,10.0,63.9,4625.25,12699.5,5066.75,2736.5,405.0,30.0,33.5,1144.5,25.5,8150.25,466.0,201.25,0.0,787.0,432.0,2146.5
2021-01-01 06:00:00+01:00,39.63,1.9,0.2,88.5,10.0,63.9,4663.25,13051.0,5135.5,2836.5,406.25,30.0,89.75,1141.25,44.0,8154.5,468.75,202.75,0.0,794.0,510.25,2016.0
2021-01-01 07:00:00+01:00,40.09,1.9,0.2,88.5,10.0,63.9,4728.5,12472.5,5214.5,2952.0,408.5,30.0,926.25,1143.5,39.0,8152.75,468.0,202.0,0.0,792.75,389.25,1979.0
2021-01-01 08:00:00+01:00,41.27,1.9,0.2,88.5,10.0,63.9,4801.5,12435.75,5611.5,3087.25,407.5,30.0,80.5,1139.0,38.25,8157.5,468.0,202.0,194.0,781.0,359.5,2090.25
2021-01-01 09:00:00+01:00,44.88,1.9,0.2,88.5,10.0,63.9,4800.25,12169.5,6093.25,3085.0,407.5,29.0,124.75,1142.75,45.75,8160.0,468.0,202.0,1363.75,784.5,248.25,2125.75
2021-01-01 10:00:00+01:00,45.0,1.9,0.2,88.5,10.0,63.9,4825.25,11607.75,6556.5,3057.75,407.5,29.0,96.0,1148.0,35.75,8161.25,468.0,202.0,2988.75,795.75,446.75,1921.5
2021-01-01 11:00:00+01:00,47.2,1.9,0.2,88.5,10.0,63.9,4829.0,11257.25,7188.5,3044.25,407.0,29.0,119.25,1149.25,35.0,8160.25,468.0,202.0,4242.5,777.0,557.5,1628.25
